,time,open,high,low,close,volume,volumeto
20813,2023-05-17 19:00:00,27096.22,27439.29,27095.31,27383.78,2901.45,79345474.72
20814,2023-05-17 20:00:00,27383.78,27465.93,27281.21,27339.12,1282.17,35097382.15
20815,2023-05-17 21:00:00,27339.12,27488.05,27277.58,27368.79,1247.43,34148921.98
20816,2023-05-17 22:00:00,27368.79,27381.2,27305.66,27335.73,602.18,16462133.16
20817,2023-05-17 23:00:00,27335.73,27429.21,27335.73,27406.21,650.08,17807024.17
20818,2023-05-18 00:00:00,27406.21,27476.67,27359.86,27361.98,666.44,18260701.91
20819,2023-05-18 01:00:00,27361.98,27394.31,27309.1,27325.78,482.8,13203824.65
20820,2023-05-18 02:00:00,27325.78,27383.67,27297.2,27350.4,468.26,12799549.11
20821,2023-05-18 03:00:00,27350.4,27379.17,27331.94,27364.18,482.42,13195623.06
20822,2023-05-18 04:00:00,27364.18,27370.18,27304.11,27306.18,385.23,10527343.24
20823,2023-05-18 05:00:00,27306.18,27321.02,27223.26,27225.17,559.94,15273273.6
20824,2023-05-18 06:00:00,27225.17,27249.73,27156.7,27210.43,1022.76,27812525.61
20825,2023-05-18 07:00:00,27210.43,27449.99,27200.98,27393.28,974.77,26644479.26
20826,2023-05-18 08:00:00,27393.28,27437.21,27350.43,27394.6,660.73,18100920.81
20827,2023-05-18 09:00:00,27394.6,27428.13,27355.93,27401.66,539.51,14776600.7
20828,2023-05-18 10:00:00,27401.66,27421.6,27339.73,27347.27,452.47,12389321.52
20829,2023-05-18 11:00:00,27347.27,27400.67,27342.8,27399.55,541.33,14820309.97
20830,2023-05-18 12:00:00,27399.55,27468.03,27235.4,27241.13,1741.49,47618312.0
20831,2023-05-18 13:00:00,27241.13,27279.99,27179.44,27260.05,1048.17,28542481.06
20832,2023-05-18 14:00:00,27260.05,27403.8,27047.57,27243.3,2421.28,65975753.9
20833,2023-05-18 15:00:00,27243.3,27298.45,27056.85,27085.59,1549.02,42061889.52
20834,2023-05-18 16:00:00,27085.59,27108.29,26996.72,27075.44,1720.46,46565205.65
20835,2023-05-18 17:00:00,27075.44,27093.72,26379.63,26493.75,4912.1,131398752.61
20836,2023-05-18 18:00:00,26493.75,26653.72,26427.76,26622.7,2094.69,55643986.79
20837,2023-05-18 19:00:00,26622.7,26850.13,26587.08,26747.98,1717.34,45892688.59
20838,2023-05-18 20:00:00,26747.98,26779.66,26704.18,26730.04,625.34,16722417.26
20839,2023-05-18 21:00:00,26730.04,27054.87,26728.96,26919.56,1478.71,39780060.22
20840,2023-05-18 22:00:00,26919.56,26946.19,26848.6,26895.3,527.52,14187422.48
20841,2023-05-18 23:00:00,26895.3,26895.8,26819.25,26823.31,634.65,17040587.34
20842,2023-05-19 00:00:00,26823.31,26925.84,26806.64,26891.8,523.28,14059396.23
20843,2023-05-19 01:00:00,26891.8,26918.62,26758.44,26814.68,570.26,15296266.62
20844,2023-05-19 02:00:00,26814.68,26855.06,26766.53,26806.06,630.22,16893122.65
20845,2023-05-19 03:00:00,26806.06,26881.36,26775.16,26842.7,437.72,11751889.54
20846,2023-05-19 04:00:00,26842.7,26881.93,26820.2,26877.48,244.88,6574472.54
20847,2023-05-19 05:00:00,26877.48,26895.09,26831.58,26884.03,351.16,9436206.9
20848,2023-05-19 06:00:00,26884.03,26939.72,26874.57,26913.27,397.74,10703166.45
20849,2023-05-19 07:00:00,26913.27,26964.02,26862.15,26865.55,472.18,12707911.11
20850,2023-05-19 08:00:00,26865.55,26935.67,26855.45,26896.29,346.65,9325415.29
20851,2023-05-19 09:00:00,26896.29,26913.38,26828.88,26850.63,346.26,9300870.84
20852,2023-05-19 10:00:00,26850.63,26881.13,26804.74,26827.61,395.27,10613345.06
20853,2023-05-19 11:00:00,26827.61,26879.76,26806.77,26862.7,472.56,12685578.07
20854,2023-05-19 12:00:00,26862.7,26985.0,26862.7,26917.09,720.74,19410652.06
20855,2023-05-19 13:00:00,26917.09,26954.81,26852.25,26874.39,708.01,19055225.84
20856,2023-05-19 14:00:00,26874.39,26875.51,26769.13,26840.13,1054.63,28278516.1
20857,2023-05-19 15:00:00,26840.13,27178.6,26668.92,26890.84,4259.38,114684986.15
20858,2023-05-19 16:00:00,26890.84,26962.29,26817.55,26844.38,1108.56,29810614.61
20859,2023-05-19 17:00:00,26844.38,26969.28,26834.53,26923.19,755.21,20325201.0
20860,2023-05-19 18:00:00,26923.19,26943.43,26880.6,26896.1,581.35,15644435.3
20861,2023-05-19 19:00:00,26896.1,26896.1,26791.05,26841.33,561.52,15073078.5
20862,2023-05-19 20:00:00,26841.33,26874.3,26815.67,26839.18,431.03,11571914.52
20863,2023-05-19 21:00:00,26839.18,26911.88,26833.76,26911.88,378.34,10169802.31
20864,2023-05-19 22:00:00,26911.88,26919.6,26870.38,26877.62,347.83,9353934.83
20865,2023-05-19 23:00:00,26877.62,26906.08,26868.84,26888.42,365.82,9835189.47
20866,2023-05-20 00:00:00,26888.42,26913.21,26840.23,26855.85,366.25,9842944.6
20867,2023-05-20 01:00:00,26855.85,26891.4,26855.75,26870.26,192.07,5161343.76
20868,2023-05-20 02:00:00,26870.26,26881.51,26845.81,26850.05,156.05,4191767.71
20869,2023-05-20 03:00:00,26850.05,26884.01,26849.55,26874.07,146.7,3941602.23
20870,2023-05-20 04:00:00,26874.07,26884.24,26860.73,26882.56,119.68,3215995.88
20871,2023-05-20 05:00:00,26882.56,26882.8,26855.17,26878.17,121.39,3261630.75
20872,2023-05-20 06:00:00,26878.17,26880.68,26852.36,26862.23,151.52,4071034.86
20873,2023-05-20 07:00:00,26862.23,26865.28,26849.12,26862.41,112.54,3022601.8
20874,2023-05-20 08:00:00,26862.41,26922.5,26862.07,26916.12,220.84,5938571.99
20875,2023-05-20 09:00:00,26916.12,26921.65,26877.85,26889.05,211.9,5699805.14
20876,2023-05-20 10:00:00,26889.05,26908.13,26879.75,26895.37,179.36,4824155.64
20877,2023-05-20 11:00:00,26895.37,26908.59,26881.54,26887.38,134.1,3606403.92
20878,2023-05-20 12:00:00,26887.38,26945.64,26886.92,26904.24,283.6,7634027.78
20879,2023-05-20 13:00:00,26904.24,26924.33,26885.37,26898.52,191.09,5140664.89
20880,2023-05-20 14:00:00,26898.52,26934.42,26897.09,26926.94,209.95,5650527.87
20881,2023-05-20 15:00:00,26926.94,26980.88,26903.77,26957.16,361.03,9728666.66
20882,2023-05-20 16:00:00,26957.16,26959.1,26925.78,26929.01,223.6,6023318.8
20883,2023-05-20 17:00:00,26929.01,27143.37,26927.19,27141.64,1030.59,27870570.97
20884,2023-05-20 18:00:00,27141.64,27164.5,27036.88,27038.75,962.66,26093418.3
20885,2023-05-20 19:00:00,27038.75,27083.01,26981.99,27074.57,501.94,13572663.17
20886,2023-05-20 20:00:00,27074.57,27096.97,27016.7,27024.54,291.87,7896857.12
20887,2023-05-20 21:00:00,27024.54,27057.95,26982.89,27044.75,408.68,11044380.59
20888,2023-05-20 22:00:00,27044.75,27078.16,27023.51,27077.33,221.97,6004560.86
20889,2023-05-20 23:00:00,27077.33,27139.07,27060.42,27118.54,576.11,15613350.04
20890,2023-05-21 00:00:00,27118.54,27280.07,27073.48,27250.59,1177.97,32044602.8
20891,2023-05-21 01:00:00,27250.59,27264.51,27160.16,27170.47,755.53,20562222.37
20892,2023-05-21 02:00:00,27170.47,27193.94,27159.1,27180.81,252.6,6863943.0
20893,2023-05-21 03:00:00,27180.81,27201.14,27168.57,27187.45,164.32,4466487.56
20894,2023-05-21 04:00:00,27187.45,27187.98,27138.27,27141.32,313.26,8509529.61
20895,2023-05-21 05:00:00,27141.32,27149.47,27101.09,27108.28,497.61,13494342.27
20896,2023-05-21 06:00:00,27108.28,27111.91,27077.42,27092.88,227.9,6175308.05
20897,2023-05-21 07:00:00,27092.88,27095.22,27059.99,27066.71,152.41,4126402.29
20898,2023-05-21 08:00:00,27066.71,27079.3,27037.0,27053.03,125.38,3392184.85
20899,2023-05-21 09:00:00,27053.03,27087.3,27038.17,27087.3,198.86,5381309.55
20900,2023-05-21 10:00:00,27087.3,27094.41,26916.46,26963.59,707.12,19073436.0
20901,2023-05-21 11:00:00,26963.59,26963.6,26815.29,26838.99,1225.44,32951086.62
20902,2023-05-21 12:00:00,26838.99,26956.02,26822.61,26945.46,619.37,16647391.38
20903,2023-05-21 13:00:00,26945.46,26950.18,26903.44,26903.96,188.93,5087864.7
20904,2023-05-21 14:00:00,26903.96,26984.96,26899.25,26910.19,319.31,8603410.48
20905,2023-05-21 15:00:00,26910.19,26989.58,26825.68,26911.5,596.74,16056066.76
20906,2023-05-21 16:00:00,26911.5,26928.73,26869.94,26900.89,385.13,10359918.16
20907,2023-05-21 17:00:00,26900.89,26938.22,26850.43,26884.89,477.88,12851853.87
20908,2023-05-21 18:00:00,26884.89,26906.36,26857.35,26882.46,290.34,7804107.69
20909,2023-05-21 19:00:00,26882.46,26924.48,26875.75,26913.4,346.16,9311903.56
20910,2023-05-21 20:00:00,26913.4,26931.71,26838.29,26853.63,458.61,12334120.13
20911,2023-05-21 21:00:00,26853.63,26857.65,26691.06,26762.13,1367.27,36575760.75
20912,2023-05-21 22:00:00,26762.13,26798.55,26749.66,26768.29,639.21,17114482.55
20913,2023-05-21 23:00:00,26768.29,26814.31,26738.5,26755.17,485.79,13011507.32
20914,2023-05-22 00:00:00,26755.17,26787.84,26567.57,26659.84,1389.34,37043189.92
20915,2023-05-22 01:00:00,26659.84,26692.96,26572.25,26589.84,1181.98,31485271.19
20916,2023-05-22 02:00:00,26589.84,26668.56,26548.27,26656.26,928.35,24712061.0
20917,2023-05-22 03:00:00,26656.26,26678.5,26639.02,26652.44,413.74,11028556.27
20918,2023-05-22 04:00:00,26652.44,26725.69,26648.64,26702.32,376.02,10036663.71
20919,2023-05-22 05:00:00,26702.32,26805.62,26702.32,26764.56,674.55,18055550.0
20920,2023-05-22 06:00:00,26764.56,26914.19,26762.21,26831.48,845.73,22711996.08
20921,2023-05-22 07:00:00,26831.48,26876.22,26802.38,26848.32,425.86,11433006.86
20922,2023-05-22 08:00:00,26848.32,26901.85,26830.96,26832.22,377.21,10135189.6
20923,2023-05-22 09:00:00,26832.22,26889.72,26831.56,26865.18,247.12,6637085.7
20924,2023-05-22 10:00:00,26865.18,26881.94,26805.61,26840.56,443.91,11916818.2
20925,2023-05-22 11:00:00,26840.56,26843.02,26773.76,26830.79,317.88,8520789.4
20926,2023-05-22 12:00:00,26830.79,26864.61,26737.23,26737.23,617.2,16543243.54
20927,2023-05-22 13:00:00,26737.23,27084.08,26710.18,27008.29,1847.06,49742348.63
20928,2023-05-22 14:00:00,27008.29,27042.35,26789.77,26955.93,1893.72,50972441.19
20929,2023-05-22 15:00:00,26955.93,26981.27,26824.99,26879.6,965.01,25945922.67
20930,2023-05-22 16:00:00,26879.6,26927.06,26840.04,26874.65,702.49,18880893.33
20931,2023-05-22 17:00:00,26874.65,26904.04,26790.22,26856.75,979.09,26274641.72
20932,2023-05-22 18:00:00,26856.75,26928.71,26844.32,26884.06,680.0,18284938.0
20933,2023-05-22 19:00:00,26884.06,26891.7,26827.97,26863.85,551.97,14822448.59
20934,2023-05-22 20:00:00,26863.85,26931.34,26836.23,26897.67,471.03,12658448.69
20935,2023-05-22 21:00:00,26897.67,26951.15,26878.34,26904.4,493.02,13270423.94
20936,2023-05-22 22:00:00,26904.4,26915.22,26874.18,26874.97,282.12,7586455.82
20937,2023-05-22 23:00:00,26874.97,26888.05,26842.32,26855.4,580.48,15589264.5
20938,2023-05-23 00:00:00,26855.4,26943.82,26808.03,26827.58,626.44,16834858.65
20939,2023-05-23 01:00:00,26827.58,27101.37,26813.1,26997.94,1956.95,52866240.4
20940,2023-05-23 02:00:00,26997.94,27157.25,26997.93,27135.83,945.04,25587402.86
20941,2023-05-23 03:00:00,27135.83,27421.01,27124.06,27373.32,2397.24,65480446.1
20942,2023-05-23 04:00:00,27373.32,27439.44,27352.82,27385.89,1498.3,41046101.11
20943,2023-05-23 05:00:00,27385.89,27480.33,27373.52,27393.49,1636.46,44884021.7
